OperationStartTime,Difficulty,Host,Attendee 1,Attendee 2,Attendee 3,Enemy,Operation 1,Operation 2,Operation 3,Host Kill count,Attendee 1 Kill Count,Attendee 2 Kill Count,Attendee 3 Kill Count,Host Casualty Count,Attendee 1 Casualty Count,Attendee 2 Casualty Count,Attendee 3 Casualty Count,SuccessfullOperationCount,Number of Crashes,"Host Kill count (Exc. ""Dirty"" data)","Attendee 1 Kill Count (Exc. ""Dirty"" data)","Attendee 2 Kill Count (Exc. ""Dirty"" data)","Attendee 3 Kill Count (Exc. ""Dirty"" data)","Host Casualty Count (Exc. ""Dirty"" data)","Attendee 1 Casualty Count (Exc. ""Dirty"" data)","Attendee 2 Casualty Count (Exc. ""Dirty"" data)","Attendee 3 Casualty Count (Exc. ""Dirty"" data)"
12/6/2024 8:00:00,8,Dalua,Zeeto,Castillo,Shockies,Automatons,Eradicate,Spread Democracy,Launch ICBM,440,943,504,429,7,3,3,2,3,0,440,943,504,429,7,3,3,2
12/7/2024 6:35:00,10,Dalua,Vulkov,Endymion,Slashed,Terminids,Enable E-710 Extraction,Retrieve Valuable Data,Blitz: Search and Destroy,668,841,491,376,7,4,2,2,3,0,668,841,491,376,7,4,2,2
12/8/2024 11:40:00,10,Dalua,Rampart,Seeker,Slashed,Terminids,Enable E-710 Extraction,Emergency Evacuation,Blitz: Search and Destroy,647,1027,739,706,11,5,7,5,3,1,372,599,663,434,9,3,7,4
12/14/2024 8:30:00,9,Dalua,Panzer,Keeli,Janus,Illuminates,Evacuate Colonists,Free Colony,Retrieve Recon Craft Intel,510,752,650,506,7,9,10,7,2,1,510,752,650,506,7,9,10,7
12/13/2024 8:30:00,8,Dalua,Bolide,Panzer,Scorpion,Illuminates,Retrieve Recon Craft Intel,Evacuate High-Value Assets,Blitz: Search and Destroy,480,747,937,370,4,8,4,6,3,0,480,747,937,370,4,8,4,6
12/16/2024 21:00:00,10,Pengus,Stella,Panini,Engel,Illuminates,Retrieve Recon Craft Intel,Free Colony,Blitz: Search and Destroy,923,381,485,428,5,9,7,14,3,0,923,381,485,428,5,9,7,14
12/16/2024 18:00:00,8,Seeker,Pengus,Bed,Wombat,Terminids,Emergency Evacuation,Retrieve Valuable Data,Eradicate,628,331,569,631,9,2,11,7,3,1,459,331,397,397,8,2,9,5
12/17/2024 14:00:00,10,Sirio,Pengus,Sloth,Oracle,Illuminates,Evacuate Colonists,Retrieve Recon Craft Intel,Blitz: Search and Destroy,751,1298,930,575,3,0,1,3,3,0,751,1298,930,575,3,0,1,3
12/18/2024 15:15:00,10,Panini,Shockies,Spino,Pablo,Illuminates,Evacuate Colonists,Free Colony,Evacuate High-Value Assets,948,1631,1330,1168,3,4,5,3,3,0,948,1631,1330,1168,3,4,5,3
12/18/2024 21:30:00,10,Pengus,Yokai,Darkfire,Wilkanator,Illuminates,Evacuate Colonists,Free Colony,Evacuate High-Value Assets,377,537,530,271,4,0,3,2,3,1,377,537,530,271,4,0,3,2
12/19/2024 11:00:00,9,Dalua,Brother,Bolide,Photon,Automatons,Neutralize Orbital Defenses,Emergency Evacuation,Blitz: Search and Destroy,478,641,520,523,7,4,4,8,3,0,478,641,520,523,7,4,4,8
12/19/2024 21:55:00,10,Panini,Nier,Snizher,Jullox,Illuminates,Evacuate Colonists,Free Colony,Evacuate High-Value Assets,604,441,635,789,2,4,2,6,3,1,330,284,495,562,1,4,2,2
12/19/2024 22:00:00,10,Pengus,Yokai,Inky,Blahaj,Illuminates,Evacuate High-Value Assets,Free Colony,Retrieve Recon Craft Intel,681,576,462,727,4,5,9,4,3,0,681,576,462,727,4,5,9,4
12/19/2024 23:55:00,10,Panini,Knight,Hobo,Hawkeye,Illuminates,Retrieve Recon Craft Intel,Free Colony,Blitz: Search and Destroy,687,163,760,311,3,3,2,3,3,1,318,131,398,121,3,2,0,2
12/20/2024 8:30:00,10,Dalua,Snowfox,Bob,Jackdaw,Automatons,Conduct Geological Survey,Retrieve Valuable Data,Eradicate,513,416,324,464,14,17,26,6,2,0,513,416,324,464,14,17,26,6
12/21/2024 21:15:00,10,Panini,Slashed,DeltaGrim,Vargotil,Terminids,Emergency Evacuation,Spread Democracy,Evacuate High-Value Assets,602,292,826,1169,1,3,4,1,3,0,602,292,826,1169,1,3,4,1
12/22/2024 4:45:00,10,Bakka,Viper,Dalua,Archfiend,Terminids,Blitz: Search and Destroy,Launch ICBM,Retrieve Valuable Data,748,798,770,404,14,15,13,7,3,0,748,798,770,404,14,15,13,7
12/22/2024 11:00:00,10,Dalua,Panzer,Flipper,Bello,Terminids,Blitz: Search and Destroy,Nuke Nursery,Emergency Evacuation,875,731,389,1546,10,8,3,3,2,0,875,731,389,1546,10,8,3,3
12/22/2024 13:30:00,10,Panini,Perceptice,Stark,Flipper,Terminids,Conduct Geological Survey,Purge Hatcheries,Blitz: Search and Destroy,504,527,763,219,7,8,2,2,3,0,504,527,763,219,7,8,2,2
